epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1585.61,0.39163,0.41482,0.88476,0.94462,0.85744,0.91217,0.85977,0.37477,0.48247,0.86254,0.00086734,0.00086734,0.00086734
69,1608.51,0.41858,0.42687,0.89144,0.94062,0.8509,0.92491,0.88069,0.34528,0.43629,0.8389,0.00086536,0.00086536,0.00086536
70,1631.56,0.41851,0.42683,0.89999,0.93718,0.87183,0.91771,0.87253,0.35422,0.43957,0.85443,0.00086338,0.00086338,0.00086338
71,1654.09,0.42959,0.43432,0.92273,0.90538,0.84776,0.89333,0.84531,0.35871,0.45693,0.86853,0.0008614,0.0008614,0.0008614
72,1676.73,0.41838,0.44936,0.90711,0.85704,0.83432,0.88487,0.83194,0.38332,0.54686,0.88246,0.00085942,0.00085942,0.00085942
73,1699.48,0.42739,0.43608,0.90814,0.89461,0.84805,0.91337,0.87507,0.36487,0.43484,0.86436,0.00085744,0.00085744,0.00085744
74,1722.3,0.41284,0.4344,0.89756,0.9299,0.86009,0.92126,0.88404,0.35359,0.49535,0.82974,0.00085546,0.00085546,0.00085546
75,1745.68,0.41337,0.42503,0.89206,0.95572,0.88366,0.9358,0.89699,0.32108,0.44715,0.83374,0.00085348,0.00085348,0.00085348
76,1769.51,0.40749,0.41267,0.90199,0.93317,0.86085,0.93104,0.89097,0.34572,0.43817,0.84505,0.0008515,0.0008515,0.0008515
77,1792.67,0.40353,0.39519,0.89482,0.96816,0.90144,0.93156,0.89765,0.33482,0.404,0.83123,0.00084952,0.00084952,0.00084952
78,1815.42,0.40562,0.3968,0.90559,0.96098,0.84025,0.91001,0.87077,0.36095,0.48353,0.85348,0.00084754,0.00084754,0.00084754
79,1838.21,0.39522,0.40584,0.88877,0.90879,0.85157,0.92149,0.88338,0.32676,0.41713,0.82481,0.00084556,0.00084556,0.00084556
80,1860.95,0.40369,0.42566,0.89245,0.93027,0.88685,0.91853,0.87071,0.31291,0.43847,0.81379,0.00084358,0.00084358,0.00084358
81,1883.35,0.42065,0.41853,0.90198,0.90765,0.88945,0.93456,0.89573,0.28168,0.41171,0.79393,0.0008416,0.0008416,0.0008416
82,1905.96,0.39612,0.39397,0.90444,0.91749,0.86656,0.925,0.89084,0.28942,0.47604,0.80236,0.00083962,0.00083962,0.00083962
83,1928.51,0.40614,0.40153,0.89587,0.94064,0.82184,0.9114,0.87913,0.30128,0.4768,0.81756,0.00083764,0.00083764,0.00083764
84,1950.74,0.40651,0.40799,0.8914,0.92502,0.88527,0.93106,0.89418,0.33036,0.41818,0.80951,0.00083566,0.00083566,0.00083566
85,1973.65,0.40406,0.42376,0.89976,0.9,0.87097,0.91434,0.88388,0.29996,0.43545,0.80022,0.00083368,0.00083368,0.00083368
86,1996.28,0.40414,0.46219,0.88643,0.90606,0.82136,0.91106,0.88297,0.2956,0.45076,0.80324,0.0008317,0.0008317,0.0008317
87,2018.85,0.3685,0.36521,0.87832,0.93599,0.87345,0.92857,0.89246,0.30743,0.38507,0.81977,0.00082972,0.00082972,0.00082972
88,2041.43,0.38798,0.40301,0.89132,0.92376,0.88873,0.93487,0.90667,0.28541,0.39884,0.80894,0.00082774,0.00082774,0.00082774
89,2063.96,0.39769,0.39386,0.88867,0.92065,0.89104,0.91656,0.88601,0.27624,0.46896,0.80248,0.00082576,0.00082576,0.00082576
90,2086.63,0.41292,0.41174,0.90788,0.87355,0.8846,0.90713,0.87945,0.27095,0.48025,0.79738,0.00082378,0.00082378,0.00082378
91,2109.34,0.39515,0.40369,0.90077,0.94268,0.87412,0.92505,0.884,0.29513,0.43587,0.81419,0.0008218,0.0008218,0.0008218
92,2131.92,0.40529,0.37968,0.90548,0.90725,0.90423,0.92792,0.90164,0.29687,0.43548,0.80604,0.00081982,0.00081982,0.00081982
93,2154.46,0.39161,0.38322,0.89336,0.94333,0.85682,0.92981,0.89007,0.30616,0.41675,0.81512,0.00081784,0.00081784,0.00081784
94,2177.15,0.39261,0.37186,0.89419,0.9165,0.87355,0.92521,0.894,0.28989,0.43625,0.81284,0.00081586,0.00081586,0.00081586
